Traceback (most recent call last):
  File "/home/daimi/miniconda3/envs/chatglm3-demo/lib/python3.10/threading.py", line 1016, in _bootstrap_inner
    self.run()
  File "/home/daimi/miniconda3/envs/chatglm3-demo/lib/python3.10/threading.py", line 953, in run
    self._target(*self._args, **self._kwargs)
  File "/home/daimi/Desktop/demo/chatglm/demo_chat.py", line 36, in text_to_audio
    audio.send_data(conn, comunication.AUDIO, res)
  File "/home/daimi/Desktop/demo/comunication/comunication.py", line 34, in send_data
    conn.sendall(struct.pack('!I', data_type))
OSError: [Errno 9] Bad file descriptor

2024-08-04 17:39:41,392 | Guka_Server.speak.speak | speak.py[line:9] |  INFO: 语音识别模型初始化完成 |  __init__
2024-08-04 17:40:16,984 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 51817).wav has been deleted. |  remove_file
2024-08-04 17:40:42,691 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 17:40:42,691 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 51819).wav has been deleted. |  remove_file
2024-08-04 17:40:48,709 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 17:44:30,245 | Guka_Server.speak.speak | speak.py[line:9] |  INFO: 语音识别模型初始化完成 |  __init__
2024-08-04 17:45:37,386 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 51861).wav has been deleted. |  remove_file
2024-08-04 17:45:46,926 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 17:45:46,926 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 51876).wav has been deleted. |  remove_file
2024-08-04 17:45:52,860 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 17:45:54,743 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 17:45:56,678 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 17:48:08,546 | Guka_Server.speak.speak | speak.py[line:9] |  INFO: 语音识别模型初始化完成 |  __init__
2024-08-04 17:48:49,474 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 51895).wav has been deleted. |  remove_file
2024-08-04 17:48:58,313 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 17:48:58,314 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 51896).wav has been deleted. |  remove_file
2024-08-04 17:49:04,646 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 17:49:06,750 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 17:49:18,694 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 17:59:13,232 | Guka_Server.speak.speak | speak.py[line:9] |  INFO: 语音识别模型初始化完成 |  __init__
2024-08-04 17:59:26,334 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 51992).wav has been deleted. |  remove_file
2024-08-04 17:59:33,016 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 51994).wav has been deleted. |  remove_file
2024-08-04 17:59:33,031 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 17:59:38,792 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 17:59:40,840 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 17:59:42,907 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 18:04:20,015 | Guka_Server.speak.speak | speak.py[line:9] |  INFO: 语音识别模型初始化完成 |  __init__
2024-08-04 18:04:54,629 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52071).wav has been deleted. |  remove_file
2024-08-04 18:05:02,138 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52072).wav has been deleted. |  remove_file
2024-08-04 18:05:02,161 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
